ID	Dataset	Reference			River/ReachName	Region	Slope	D50	Depth	width	drainage area	Lat	Long	PlateBDist	Subsurface grain size	Armor ratio	Large Wood (pieces/m2)	Percent Sedimentary
317	"Matthew Cover, personal communication. "				"Arroyo, Laguinatas Ck drainage"	", California, USA"	0.0103	0.022	0.42	3.9	3.489963866			10000		1.608695652	0	1
318	"Matthew Cover, personal communication. "				"Woodacre, Laguinatas Ck drainage"	", California, USA"	0.013	0.008	0.45	5.5	3.657220499			10000		0.842105263	0	1
319	"Cover et al., 2008"	xx			"Elk Creek, Klamath drainage"	", California, USA"	0.043	0.288	0.67	18.6	83			140000				NaN
320	"Cover et al., 2009"	xx			"Little North Fork Salmon River, Klamath drainage"	", California, USA"	0.025	0.284	0.81	14.5	84			140000				NaN
321	"Cover et al., 2010"	xx			"Grouse Creek, Klamath drainage"	", California, USA"	0.028	0.054	0.44	5.5	26			180277				0
322	"John Buffington, unpublished data. "				Loon #1	", Middle Fork Salmon River, Idaho, USA"	0.019	0.084140987	0.724687654	13				800562	0.01421	5.921251748	0.005000641	NaN
323	"John Buffington, unpublished data. "				Mayfield #1	", Middle Fork Salmon River, Idaho, USA"	0.0153	0.088783657	0.73648532	10.8				800562	0.01177	7.54321636	0.002986613	NaN
324	"John Buffington, unpublished data. "				Mayfield #2	", Middle Fork Salmon River, Idaho, USA"	0.0265	0.046703363	0.761381011	15.01				800562	0.02112	2.211333493	0.01665433	NaN
325	"John Buffington, unpublished data. "				Mayfield #3	", Middle Fork Salmon River, Idaho, USA"	0.0354	0.069792495	0.621754202	8.85				800562	0.01138	6.132908163	0.019775548	NaN
326	"John Buffington, unpublished data. "				Shake #2	", Middle Fork Salmon River, Idaho, USA"	0.0129	0.02494407	0.490622892	3.007				778203	0.01112	2.243171799	0	0
327	"John Buffington, unpublished data. "				Thatcher #1	", Middle Fork Salmon River, Idaho, USA"	0.011	0.029914598	0.424147934	3.09				782624	0.00425	7.038728976	0	NaN
328	"John Buffington, unpublished data. "				Elk #2	", Middle Fork Salmon River, Idaho, USA"	0.0005	0.002378414	1.090288553	22.5388889				787147	0.00264	0.900914481	0.000379617	0
329	"John Buffington, unpublished data. "				Bear Valley #3	", Middle Fork Salmon River, Idaho, USA"	0.0037	0.044655601	0.85067548	16.96				769220	0.0064	6.977437641	0.000889661	0
330	"John Buffington, unpublished data. "				Elk #1	", Middle Fork Salmon River, Idaho, USA"	0.002	0.016756706	0.843588711	16.756				796053	0.00911693	1.837976773	0.001109296	NaN
331	"John Buffington, unpublished data. "				Marsh #2	", Middle Fork Salmon River, Idaho, USA"	0.0036	0.027379041	0.77148504	14.739				778203	0.006	4.56317347	0.001253528	0
332	"John Buffington, unpublished data. "				Bear Valley #4	", Middle Fork Salmon River, Idaho, USA"	0.0211	0.049350746	0.664951478	4.932				769220	0.00337	14.6441384	0.007177257	0
333	"John Buffington, unpublished data. "				Big #3	", Middle Fork Salmon River, Idaho, USA"	0.0053	0.020749433	0.541091397	16.095				776209	0.01558	1.331799286	0.007390491	NaN
334	"John Buffington, unpublished data. "				Little Beaver #1	", Middle Fork Salmon River, Idaho, USA"	0.0003	0.004688631	0.841569409	3.65				751332	0.00323	1.451588469	0.008534972	0
335	"John Buffington, unpublished data. "				Fir #1	", Middle Fork Salmon River, Idaho, USA"	0.0045	0.010374716	0.542031597	5.37				769220	0.00978	1.060809452	0.009698945	0
336	"John Buffington, unpublished data. "				Mayfield #4	", Middle Fork Salmon River, Idaho, USA"	0.0086	0.026250731	0.543875675	9.35				800562	0.01125	2.333398346	0.011712924	0
337	"John Buffington, unpublished data. "				Silver #8	", Middle Fork Salmon River, Idaho, USA"	0.0153	0.035918786	0.523750219	6.349				824621	0.02008	1.788784141	0.015366353	NaN
338	"John Buffington, unpublished data. "				Bearskin #1	", Middle Fork Salmon River, Idaho, USA"	0.0041	0.011814609	0.670467807	5.47				751332	0.00833	1.418320428	0.032841082	
339	Lisle personal communication				Bald Mountain Ck		0.024	0.075	0.882933333	16.22333333	18.6			50000				0.611277705
340	Lisle personal communication				"Bridge Creek, Redwood Ck drainage, California"		0.012	0.072	0.6305	12.5715	28.3			70000				1
341	Lisle personal communication				"Crapo Creek, Salmon River drainage, California"		0.0397	0.122	0.770466667	11.24666667	44.5			120000				NaN
342	Lisle personal communication				"Grouse Creek (lower), Klamath River drainage, California"		0.016	0.045	1.25	27	140			183848				NaN
343	Lisle personal communication				"Horse Linto Creek, Trinity River drainage, California"		0.018	0.094	0.593966667	14.564	97			90000				NaN
344	Lisle personal communication				"Knownothing Creek, Salmon River drainage, California"		0.0203	0.129	0.6244	16.17933333	58.1			120000				1
345	Lisle personal communication				"Little Lost Man Creek, Redwood Creek drainage, California"		0.0448	0.106	0.4563	8.734666667	8.96			70000				1
346	Lisle personal communication				"Nordheimer Creek, Salmon River drainage, California"		0.0161	0.105	0.978833333	15.222	81.3			120000				1
347	Lisle personal communication				"Plummer Creek, Salmon River drainage, California"		0.0361	0.126	0.6893	11.248	37.8			130000				1
348	Lisle personal communication				"Red Cedar Creek, Elk River drainage, Oregon"		0.0164	0.061	0.4139	11.3335	7.02			58309.5				1
349	Lisle personal communication				"South Fork Caspar Creek, California"		0.0115	0.047	0.4275	3.385166667	5.36			10000				
350	Lisle personal communication				"Three Creeks, Trinity River drainage, California"		0.016	0.058	0.723733333	10.98533333	23			80000				1
